Date,Open,High,Low,Close,Adj Close,Volume
2013-10-07,106.199997,106.510002,104.510002,105.459999,88.242676,36549000
2013-10-14,105.389999,107.480003,104.269997,107.040001,89.564690,47748000
2013-10-21,106.910004,108.730003,106.459999,108.290001,90.610687,37094100
2013-10-28,108.010002,108.379997,106.139999,106.190002,88.853508,44737800
2013-11-04,106.470001,106.669998,103.389999,103.410004,86.759476,43913200
2013-11-11,103.529999,105.120003,102.959999,104.730003,87.866982,30789900
2013-11-18,104.650002,105.410004,102.160004,103.910004,87.178978,43747000
2013-11-25,103.839996,104.930000,103.839996,104.449997,87.632011,21562100
2013-12-02,103.800003,103.959999,102.220001,102.919998,86.348366,35905100
2013-12-09,102.900002,103.949997,102.629997,103.209999,86.849457,33590000
2013-12-16,103.580002,104.290001,102.449997,104.250000,87.724586,44498100
2013-12-23,104.050003,104.410004,101.690002,101.809998,85.671364,20675900
2013-12-30,102.150002,102.580002,101.169998,102.169998,86.255325,24374900
2014-01-06,102.379997,104.540001,102.099998,104.410004,88.146370,40925800
2014-01-13,104.510002,105.519997,103.930000,105.480003,89.049721,42244300
2014-01-20,105.449997,107.489998,105.239998,107.480003,90.738235,35165500
2014-01-27,107.220001,108.410004,106.550003,108.279999,91.413605,47236900
2014-02-03,107.790001,109.339996,106.440002,106.790001,90.155647,53413900
2014-02-10,106.610001,107.120003,105.620003,106.580002,90.208328,28862400
2014-02-17,106.660004,107.199997,105.690002,106.669998,90.284477,20732200
2014-02-24,106.699997,108.739998,106.169998,108.570000,91.892647,31103300
2014-03-03,108.879997,109.180000,105.599998,105.889999,89.624306,39644500
2014-03-10,105.940002,108.980003,105.779999,108.519997,92.073387,35038800
2014-03-17,108.180000,108.320000,106.809998,108.230003,91.827309,37969600
2014-03-24,108.050003,110.389999,107.949997,109.370003,92.794533,35514800
2014-03-31,108.739998,111.070000,107.169998,108.459999,92.022438,37357800
2014-04-07,108.620003,110.790001,108.599998,110.730003,94.190147,40521200
2014-04-14,110.480003,111.510002,109.699997,110.050003,93.611748,26040100
2014-04-21,110.370003,111.989998,109.610001,111.330002,94.700546,28127900
2014-04-28,111.110001,113.099998,110.040001,112.709999,95.874374,44821200
2014-05-05,112.760002,112.809998,110.980003,111.239998,94.853615,39644200
2014-05-12,111.010002,114.410004,110.540001,113.540001,96.814850,36563300
2014-05-19,113.930000,113.959999,111.790001,112.699997,96.098587,32508400
2014-05-26,112.849998,115.190002,112.400002,114.099998,97.292343,34230200
2014-06-02,113.040001,113.680000,111.019997,111.589996,95.152084,47052700
2014-06-09,111.449997,112.620003,110.830002,112.150002,95.876648,31906900
2014-06-16,112.209999,112.760002,110.739998,111.800003,95.577400,44644500
2014-06-23,112.080002,113.820000,111.410004,113.239998,96.808510,35064700
2014-06-30,113.559998,113.800003,110.339996,110.680000,94.619957,29168700
2014-07-07,111.269997,113.680000,111.230003,113.580002,97.349556,30549600
2014-07-14,113.279999,115.050003,112.500000,114.519997,98.155220,34658000
2014-07-21,115.010002,115.680000,114.250000,115.669998,99.140869,28617700
2014-07-28,115.589996,116.070000,113.050003,114.559998,98.189491,57174000
2014-08-04,114.529999,116.419998,113.680000,115.519997,99.273621,39787200
2014-08-11,115.650002,118.360001,114.730003,117.709999,101.155647,49636600
